Word	SAT	GSL	Og350	Og850	OgInt	OgNSt	Sw35	Sw207	Fry1k	Ox3k
.	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
._.	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
a	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
a_DT	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
a 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
a _DT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
a.m. 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
a.m. _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abandon 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abandon _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abandoned 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abandoned _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abase	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abase_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abasement	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abasement_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abash	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abash_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abate_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abatement	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abatement_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abbreviate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abbreviate_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abdicate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abdicate_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abduct	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abduct_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abduction	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abduction_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aberrant	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aberrant_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abet	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abet_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abeyance	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abeyance_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abhor	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abhor_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abhorrence	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abhorrence_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ability	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ability_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ability 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ability _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abject	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abject_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abjuration	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abjuration_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abjure	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abjure_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
able	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
able_J	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
able 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
able _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abloition	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abloition_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ablution	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ablution_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abnegation	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abnegation_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abolish	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abolish_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abolition	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abolition_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abominable	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abominable_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aboriginal	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aboriginal_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aborigines	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aborigines_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abort	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abort_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abortive	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abortive_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
about	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
about_A	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
about 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
about _IN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
about _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
above	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
above_A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
above_IN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
above 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
above _IN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
above _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abrade	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abrade_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abrasive	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abrasive_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abridge	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abridge_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abroad	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abroad_A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abroad 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abroad _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abrogate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abrogate_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abscond	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abscond_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absence	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
absence_N	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
absence 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absence _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absent	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absent_J	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absent 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absent _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absolute	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absolute_J	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absolute 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absolute _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absolutely 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absolutely _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absolution	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absolution_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absolve	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absolve_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absorb	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absorb_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
absorb 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absorb _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
absorption	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
absorption_N	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
abstain	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstain_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstemious	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstemious_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstinence	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstinence_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstract	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstract_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstruse	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abstruse_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abundant	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abundant_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abuse 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abuse _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
abusive	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abusive_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abut	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abut_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abysmal	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abysmal_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abyss	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abyss_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
academic	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
academic_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
academic 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
academic _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accede	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accede_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accelerate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
